District ID,tur,maize,rice,jowar,cotton,ragi,groundnut,moong,bajra,soybean,wheat,onion
1,42565,68045,54,96236,1006,24,30820,40834,18210,795,24665,35472
2,815,10504,265,546,3,42344,162,7,11,0,1,51
3,14881,159679,53529,133922,63580,1044,31100,54963,9033,72014,38759,6586
4,13708,203914,137905,29802,45630,12117,60802,333,15532,4,23,11251
5,461,1207,361,365,14,10661,87,5,9,4,3,35
6,77019,1490,617,29527,446,12,36,26461,409,125173,2927,733
7,520937,45811,91,149508,34569,76,14174,5691,19373,30,35336,17965
8,962,29146,10436,8845,7097,9061,4437,1349,503,46,1,3207
9,4417,32799,584,14887,118,32348,24982,147,210,8,4,921
10,332,20592,19417,13400,1689,26956,4972,3994,34,6,3,5744
11,4054,104566,843,4173,9483,21586,75074,4262,1912,20,231,27305
12,4750,132066,125670,3315,3038,7572,13381,31,470,4,3,4917
13,628,42650,11107,49073,53005,69,30992,61362,54,34554,29262,26620
14,2975,54946,3703,65293,25671,35,40080,140566,3617,45,14327,35974
15,613760,2261,10083,124811,68183,69,7017,43466,1682,22325,6349,3954
16,1138,87526,46801,12511,48,72470,330,6449,96,24,9,57
17,1463,191315,37288,47825,80922,277,19843,3975,6,6608,703,6596
18,0,2237,19023,0,0,62,8,6,0,0,2,0
19,2053,1098,3223,1088,0,44120,12104,43,98,3,0,326
20,24740,73290,75185,40197,7110,69,30798,22568,67048,14,4351,21960
21,341,3490,68030,3257,4,45314,489,302,13,66,1,152
22,3767,26257,99744,9854,43453,46139,1673,4463,18,70,3,25
23,102883,4599,174934,127743,123580,84,34803,1355,47022,9,25,3015
24,1379,3326,3174,1703,1,50308,1169,20,7,5,1,1
25,23,66674,95087,182,1494,439,136,269,2,0,2,0
26,10507,29469,6958,2161,1512,132078,64129,2777,178,11,6,338
27,2,10203,53915,73,956,6,983,354,1,17,0,42
28,0,2,34608,4,0,0,1806,194,0,0,209,0
29,1,0,9374,0,2,0,0,24,4,0,1,0
30,110119,128,97584,23451,145784,10,34734,16719,8876,0,320,362
