District ID,maize,tur,jowar,rice
1,68045,42565,96236,54
2,10504,815,546,265
3,159679,14881,133922,53529
4,203914,13708,29802,137905
5,1207,461,365,361
6,1490,77019,29527,617
7,45811,520937,149508,91
8,29146,962,8845,10436
9,32799,4417,14887,584
10,20592,332,13400,19417
11,104566,4054,4173,843
12,132066,4750,3315,125670
13,42650,628,49073,11107
14,54946,2975,65293,3703
15,2261,613760,124811,10083
16,87526,1138,12511,46801
17,191315,1463,47825,37288
18,2237,0,0,19023
19,1098,2053,1088,3223
20,73290,24740,40197,75185
21,3490,341,3257,68030
22,26257,3767,9854,99744
23,4599,102883,127743,174934
24,3326,1379,1703,3174
25,66674,23,182,95087
26,29469,10507,2161,6958
27,10203,2,73,53915
28,0,1,0,9374
29,2,0,4,34608
30,128,110119,23451,97584
